ticker,company_name,sector,year,scrape_status,missing_reason,snapshot_ts,snapshot_url,cdx_query_url,word_count,changed_from_prior,change_confidence,change_description,theme_categories,dominant_theme,register,analyst_notes,ngram_similarity,analysis_method,theme_mission_purpose,theme_customer_centricity,theme_innovation_technology,theme_stakeholder_capitalism,theme_shareholder_value,theme_esg_sustainability,theme_employee_culture,theme_ethics_integrity,theme_global_scale,theme_community_impact
BKNG,Booking Holdings Inc.,Consumer Discretionary,2017,MISSING,all_hints_exhausted,,,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fwho-we-are%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20170101&to=20171231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,0,,,No text — snapshot missing or blocked.,,,,No text; analysis skipped.,,skipped,0,0,0,0,0,0,0,0,0,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2018,OK,,20180712085216,https://www.bookingholdings.com/about/leadership/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20180101&to=20181231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,146,,,No prior year available,GLOBAL_SCALE,GLOBAL_SCALE,FORMAL,"This biographical profile emphasizes Glenn Fogel's M&A and strategic planning background, reflecting Booking Holdings' acquisition-driven growth strategy. Notable absence of any mission, values, or stakeholder-oriented messaging suggests this may be from an executive profile section rather than a true About Us page.",,llm,0,0,0,0,0,0,0,0,1,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2019,OK,,20190718032817,https://www.bookingholdings.com/about/leadership/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20190101&to=20191231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,160,True,HIGH,Added CEO role at Booking.com subsidiary effective June 2019 to existing corporate leadership position.,GLOBAL_SCALE|SHAREHOLDER_VALUE,SHAREHOLDER_VALUE,FORMAL,"This is purely biographical executive content focused on credentials and M&A experience rather than mission/values messaging. The emphasis on corporate development and strategic alliances signals growth-through-acquisition strategy. Notably absent are any statements about company purpose, customer focus, or broader stakeholder commitments typical of About Us pages.",0.9089,llm,0,0,0,0,1,0,0,0,1,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2020,OK,,20200722135133,https://www.bookingholdings.com/about/factsheet/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20200101&to=20201231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,210,True,HIGH,"Content shifted from executive biography to comprehensive corporate overview with mission statement, business metrics, and diversity statistics.",EMPLOYEE_CULTURE|GLOBAL_SCALE|MISSION_PURPOSE|STAKEHOLDER_CAPITALISM,MISSION_PURPOSE,FORMAL,"The page emphasizes travel accessibility as core mission while prominently featuring diversity metrics and employer rankings. Notable focus on gender representation in leadership and workforce diversity, suggesting stakeholder-oriented positioning beyond traditional shareholder value messaging.",0.173,llm,1,0,0,1,0,0,1,0,1,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2021,OK,,20210712101832,https://www.bookingholdings.com/about/history/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20210101&to=20211231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,182,True,HIGH,Shifted from comprehensive mission statement and business metrics to achievement-focused highlights emphasizing sustainability partnerships and diversity milestones.,EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|INNOVATION_TECHNOLOGY|STAKEHOLDER_CAPITALISM,ESG_SUSTAINABILITY,FORMAL,"The company pivoted from quantitative performance metrics to qualitative ESG achievements, notably partnering with Duke of Sussex on sustainability. This shift suggests strategic repositioning toward stakeholder capitalism amid travel industry scrutiny. The absence of financial metrics and mission statement may indicate defensive messaging during challenging periods.",0.2797,llm,0,0,1,1,0,1,1,0,0,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2022,OK,,20220703142442,https://www.bookingholdings.com/about/factsheet/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20220101&to=20221231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,204,True,HIGH,Shifted from narrative corporate milestones and achievements to quantified business metrics and financial performance emphasis.,EMPLOYEE_CULTURE|GLOBAL_SCALE|MISSION_PURPOSE|SHAREHOLDER_VALUE,SHAREHOLDER_VALUE,FORMAL,"Notable pivot from ESG-focused storytelling in 2021 to financial performance metrics in 2022, suggesting confidence in post-pandemic recovery. The page emphasizes quantified achievements over sustainability initiatives, potentially signaling investor-focused messaging during a growth period.",0.2693,llm,1,0,0,0,1,0,1,0,1,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2023,OK,,20230429152703,https://www.bookingholdings.com/about/compliance-and-ethics/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20230101&to=20231231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,58,True,HIGH,Complete pivot from comprehensive business description with mission and metrics to narrow focus solely on ethics and code of conduct.,ETHICS_INTEGRITY,ETHICS_INTEGRITY,FORMAL,"Dramatic strategic shift from showcasing global scale, innovation rankings, and financial performance to exclusively emphasizing ethics compliance. This narrow focus on 'Absolute Integrity' suggests either a response to integrity challenges or a deliberate reframing away from business metrics. The absence of mission statement and business description is strategically notable.",0.1296,llm,0,0,0,0,0,0,0,1,0,0
BKNG,Booking Holdings Inc.,Consumer Discretionary,2024,OK,,20240502042044,https://www.bookingholdings.com/about/compliance-and-ethics/,https://web.archive.org/cdx/search/cdx?url=bookingholdings.com%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20240101&to=20241231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,402,True,HIGH,"Significantly expanded from basic code of conduct reference to comprehensive compliance framework with detailed ethics infrastructure, supplier standards, and human rights commitments.",ESG_SUSTAINABILITY|ETHICS_INTEGRITY|GLOBAL_SCALE,ETHICS_INTEGRITY,FORMAL,Strategic emphasis on compliance infrastructure and human rights positions company for ESG scrutiny while the repeated 'Absolute Integrity' messaging suggests brand protection priorities in a sector facing trust issues.,0.1309,llm,0,0,0,0,0,1,0,1,1,0
HD,The Home Depot Inc.,Consumer Discretionary,2016,OK,,20160709180908,http://corporate.homedepot.com:80/about/values,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20160101&to=20161231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,895,,,No prior year available,COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ETHICS_INTEGRITY|SHAREHOLDER_VALUE,EMPLOYEE_CULTURE,CONVERSATIONAL,"Home Depot explicitly prioritizes shareholder value creation as its first value, unusual for corporate messaging in this era. The page heavily emphasizes employee stories and community response during natural disasters, suggesting values are operationalized through frontline associate behavior. The storytelling format with named employees creates authenticity but may indicate defensive positioning around employee treatment.",,llm,0,1,0,0,1,0,1,1,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2017,OK,,20170707175125,https://corporate.homedepot.com/celebration-of-service-2016,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20170101&to=20171231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,300,True,HIGH,Shifted from comprehensive values framework with employee stories to narrow focus on veteran-supporting social media campaign.,COMMUNITY_IMPACT,COMMUNITY_IMPACT,CONVERSATIONAL,"The 2017 content appears to be a specific campaign page rather than comprehensive corporate values, representing a significant departure from the structured values framework presented in 2016. This shift from broad stakeholder focus to narrow cause marketing may indicate content fragmentation rather than strategic repositioning.",0.1803,llm,0,0,0,0,0,0,0,0,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2018,OK,,20180702212307,https://corporate.homedepot.com/community,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20180101&to=20181231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,179,True,HIGH,Shifted from tactical social media campaign details to strategic foundation overview with concrete financial commitments and long-term workforce development goals.,COMMUNITY_IMPACT|STAKEHOLDER_CAPITALISM,COMMUNITY_IMPACT,ASPIRATIONAL,"The evolution from campaign-specific hashtag initiatives to substantial multi-year financial commitments signals maturation of CSR strategy. The focus on veterans, disaster response, and skilled trades training aligns with core customer base while addressing societal needs. The quantified commitments ($250M+ veterans, $50M workforce development) suggest serious stakeholder capitalism positioning rather than superficial community engagement.",0.2051,llm,0,0,0,1,0,0,0,0,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2019,OK,,20190315210919,https://corporate.homedepot.com/,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20190101&to=20191231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,368,True,HIGH,Content shifted from substantive foundation commitments and specific dollar amounts to a navigation-heavy corporate website structure with minimal values messaging.,COMMUNITY_IMPACT|EMPLOYEE_CULTURE,COMMUNITY_IMPACT,FORMAL,"Notable absence of core business purpose or customer value proposition messaging, with community impact relegated to brief story headlines rather than prominent strategic commitments as seen in 2018.",0.1791,llm,0,0,0,0,0,0,1,0,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2020,OK,,20200706043620,https://corporate.homedepot.com/,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20200101&to=20201231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,346,True,HIGH,"Structural reorganization replaced 'Community' section with 'Foundation' section, and featured stories shifted from community celebrations to crisis response including COVID-19 and racial equality messaging.",COMMUNITY_IMPACT|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|ETHICS_INTEGRITY,COMMUNITY_IMPACT,FORMAL,Notable strategic pivot from community celebration narratives in 2019 to crisis management and social justice positioning in 2020. The reorganization of community work under a formal Foundation structure suggests institutionalization of CSR efforts. Heavy emphasis on disaster relief and veteran services aligns with Home Depot's core customer base while addressing broader social expectations during a turbulent year.,0.5859,llm,0,0,0,0,0,1,1,1,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2021,OK,,20210308102018,https://corporate.homedepot.com/,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20210101&to=20211231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,341,True,MEDIUM,"Featured stories shifted from COVID-19 response and racial justice messaging to HBCU programs, veteran services, and diversity leadership spotlights.",COMMUNITY_IMPACT|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY,COMMUNITY_IMPACT,FORMAL,"The page functions primarily as a navigation hub rather than values communication, with corporate messaging embedded in featured stories. The shift from crisis response messaging to programmatic community initiatives suggests a return to standard corporate communications rhythm. Notable emphasis on diversity programs and veteran services aligns with broader ESG positioning.",0.5931,llm,0,0,0,0,0,1,1,0,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2022,OK,,20220301004923,https://corporate.homedepot.com/,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20220101&to=20221231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,388,True,MEDIUM,Added 'Our Story' and 'Economic Impact' sections while changing 'Trades Training' to 'Path to Pro' and updating ESG report year from 2020 to 2021.,COMMUNITY_IMPACT|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY|STAKEHOLDER_CAPITALISM,COMMUNITY_IMPACT,FORMAL,"The page heavily emphasizes community service through veterans support, disaster relief, and diversity initiatives rather than traditional business metrics. The addition of 'Economic Impact' and rebranding 'Trades Training' to 'Path to Pro' suggests positioning as a workforce development partner. Notable absence of explicit mission statement or customer value proposition despite clear stakeholder-focused messaging.",0.6001,llm,0,0,0,1,0,1,1,0,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2023,OK,,20230303132203,https://corporate.homedepot.com/,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20230101&to=20231231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,376,False,HIGH,No material change in structure or messaging; only minor content updates like ESG report year and featured stories.,COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY,COMMUNITY_IMPACT,FORMAL,The page emphasizes community service and ESG initiatives prominently through dedicated Foundation section and sustainability reporting. Navigation structure suggests corporate transparency with extensive investor relations and governance content. Notable focus on veterans support and disaster relief positions Home Depot as a civic-minded corporation rather than purely profit-driven retailer.,0.43,llm,0,1,0,0,0,1,1,0,0,1
HD,The Home Depot Inc.,Consumer Discretionary,2024,OK,,20240319052151,https://corporate.homedepot.com/,https://web.archive.org/cdx/search/cdx?url=corporate.homedepot.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20240101&to=20241231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,403,True,LOW,Minor content updates including removal of 'Give Me An H Podcast' and updating ESG report year from 2022 to 2023.,COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|ESG_SUSTAINABILITY,COMMUNITY_IMPACT,FORMAL,"This is primarily a navigation page rather than substantive mission/values content, emphasizing community programs and foundation work. The structure suggests strong ESG focus but lacks explicit mission statement or core values articulation. Navigation-heavy format may indicate values are communicated through linked sub-pages rather than prominently displayed.",0.5269,llm,0,1,0,0,0,1,1,0,0,1
LOW,Lowe's Companies Inc.,Consumer Discretionary,2016,MISSING,all_hints_exhausted,,,https://web.archive.org/cdx/search/cdx?url=lowes.com%2Fl%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20160101&to=20161231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,0,,,No text — snapshot missing or blocked.,,,,No text; analysis skipped.,,skipped,0,0,0,0,0,0,0,0,0,0
LOW,Lowe's Companies Inc.,Consumer Discretionary,2017,MISSING,all_hints_exhausted,,,https://web.archive.org/cdx/search/cdx?url=lowes.com%2Fl%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20170101&to=20171231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,0,,,No text — snapshot missing or blocked.,,,,No text; analysis skipped.,,skipped,0,0,0,0,0,0,0,0,0,0
LOW,Lowe's Companies Inc.,Consumer Discretionary,2018,MISSING,all_hints_exhausted,,,https://web.archive.org/cdx/search/cdx?url=lowes.com%2Fl%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20180101&to=20181231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,0,,,No text — snapshot missing or blocked.,,,,No text; analysis skipped.,,skipped,0,0,0,0,0,0,0,0,0,0
LOW,Lowe's Companies Inc.,Consumer Discretionary,2019,MISSING,all_hints_exhausted,,,https://web.archive.org/cdx/search/cdx?url=lowes.com%2Fl%2Fabout%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20190101&to=20191231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,0,,,No text — snapshot missing or blocked.,,,,No text; analysis skipped.,,skipped,0,0,0,0,0,0,0,0,0,0
LOW,Lowe's Companies Inc.,Consumer Discretionary,2020,OK,,20200809065308,https://corporate.lowes.com/careers/,https://web.archive.org/cdx/search/cdx?url=corporate.lowes.com%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cdigest&filter=statuscode%3A200&filter=mimetype%3Atext%2Fhtml&from=20200101&to=20201231&limit=50&collapse=timestamp%3A8&resolveRevisits=true,225,,,No prior year available,COMMUNITY_IMPACT|CUSTOMER_CENTRICITY|EMPLOYEE_CULTURE|MISSION_PURPOSE,EMPLOYEE_CULTURE,CONVERSATIONAL,"The page heavily emphasizes employee testimonials and career opportunities, positioning associates as central to mission delivery. Notable focus on military community support suggests targeted workforce strategy. The conversational tone with personal quotes creates emotional connection but lacks specific performance metrics or concrete commitments.",,llm,1,1,0,0,0,0,1,0,0,1
